time,time_error,rate,rate_error,fracexp
52777.13429377505,5.787037037037037e-7,7.43200e+04,1.21918e+03,1
52777.13429435375,5.787037037037037e-7,7.54200e+04,1.22817e+03,1
52777.13429493245,5.787037037037037e-7,7.43600e+04,1.21951e+03,1
52777.13429551116,5.787037037037037e-7,7.65000e+04,1.23693e+03,1
52777.13429608985,5.787037037037037e-7,7.54200e+04,1.22817e+03,1
52777.13429666858,5.787037037037037e-7,7.52200e+04,1.22654e+03,1
52777.13429724727,5.787037037037037e-7,7.65400e+04,1.23726e+03,1
52777.13429782596,5.787037037037037e-7,7.66000e+04,1.23774e+03,1
52777.13429840468,5.787037037037037e-7,7.62800e+04,1.23515e+03,1
52777.13429898338,5.787037037037037e-7,7.40600e+04,1.21705e+03,1
52777.13429956209,5.787037037037037e-7,7.71400e+04,1.24210e+03,1
52777.13430014079,5.787037037037037e-7,7.67400e+04,1.23887e+03,1
52777.13430071948,5.787037037037037e-7,7.68400e+04,1.23968e+03,1
52777.13430129820,5.787037037037037e-7,7.51400e+04,1.22589e+03,1
52777.13430187690,5.787037037037037e-7,7.79800e+04,1.24884e+03,1
52777.13430245561,5.787037037037037e-7,7.46600e+04,1.22197e+03,1
52777.13430303431,5.787037037037037e-7,7.63800e+04,1.23596e+03,1
52777.13430361301,5.787037037037037e-7,7.67600e+04,1.23903e+03,1
52777.13430419172,5.787037037037037e-7,7.27200e+04,1.20599e+03,1
52777.13430477041,5.787037037037037e-7,7.37000e+04,1.21408e+03,1
52777.13430534914,5.787037037037037e-7,7.78200e+04,1.24756e+03,1
52777.13430592783,5.787037037037037e-7,7.62400e+04,1.23483e+03,1
52777.13430650652,5.787037037037037e-7,7.53000e+04,1.22719e+03,1
52777.13430708524,5.787037037037037e-7,7.23000e+04,1.20250e+03,1
52777.13430766394,5.787037037037037e-7,7.45600e+04,1.22115e+03,1
52777.13430824265,5.787037037037037e-7,7.74800e+04,1.24483e+03,1
52777.13430882135,5.787037037037037e-7,7.57400e+04,1.23077e+03,1
52777.13430940005,5.787037037037037e-7,7.39000e+04,1.21573e+03,1
52777.13430997876,5.787037037037037e-7,7.39200e+04,1.21589e+03,1
52777.13431055746,5.787037037037037e-7,7.49000e+04,1.22393e+03,1
52777.13431113617,5.787037037037037e-7,7.61000e+04,1.23369e+03,1
52777.13431171487,5.787037037037037e-7,7.52000e+04,1.22638e+03,1
52777.13431229357,5.787037037037037e-7,7.57000e+04,1.23045e+03,1
52777.13431287228,5.787037037037037e-7,7.68400e+04,1.23968e+03,1
52777.13431345098,5.787037037037037e-7,7.69000e+04,1.24016e+03,1
52777.13431402970,5.787037037037037e-7,7.68800e+04,1.24000e+03,1
52777.13431460839,5.787037037037037e-7,7.64400e+04,1.23645e+03,1
52777.13431518708,5.787037037037037e-7,7.58800e+04,1.23191e+03,1
52777.13431576580,5.787037037037037e-7,7.89800e+04,1.25682e+03,1
52777.13431634450,5.787037037037037e-7,7.61200e+04,1.23386e+03,1
52777.13431692321,5.787037037037037e-7,7.75000e+04,1.24499e+03,1
52777.13431750191,5.787037037037037e-7,7.66000e+04,1.23774e+03,1
52777.13431808061,5.787037037037037e-7,7.93600e+04,1.25984e+03,1
52777.13431865932,5.787037037037037e-7,8.00400e+04,1.26523e+03,1
52777.13431923802,5.787037037037037e-7,8.10800e+04,1.27342e+03,1
52777.13431981674,5.787037037037037e-7,7.61600e+04,1.23418e+03,1
52777.13432039543,5.787037037037037e-7,7.81800e+04,1.25044e+03,1
52777.13432097412,5.787037037037037e-7,7.83600e+04,1.25188e+03,1
52777.13432155284,5.787037037037037e-7,7.88400e+04,1.25571e+03,1
52777.13432213154,5.787037037037037e-7,7.97400e+04,1.26285e+03,1
52777.13432271026,5.787037037037037e-7,7.95800e+04,1.26159e+03,1
52777.13432328895,5.787037037037037e-7,7.84600e+04,1.25268e+03,1
52777.13432386765,5.787037037037037e-7,7.78200e+04,1.24756e+03,1
52777.13432444636,5.787037037037037e-7,8.00200e+04,1.26507e+03,1
52777.13432502506,5.787037037037037e-7,7.81200e+04,1.24996e+03,1
52777.13432560377,5.787037037037037e-7,7.95000e+04,1.26095e+03,1
52777.13432618247,5.787037037037037e-7,7.84000e+04,1.25220e+03,1
52777.13432676117,5.787037037037037e-7,8.22000e+04,1.28219e+03,1
52777.13432733988,5.787037037037037e-7,7.86600e+04,1.25427e+03,1
52777.13432791857,5.787037037037037e-7,7.59000e+04,1.23207e+03,1
52777.13432849730,5.787037037037037e-7,7.75000e+04,1.24499e+03,1
52777.13432907599,5.787037037037037e-7,7.87800e+04,1.25523e+03,1
52777.13432965468,5.787037037037037e-7,8.03400e+04,1.26760e+03,1
52777.13433023341,5.787037037037037e-7,7.83600e+04,1.25188e+03,1
52777.13433081210,5.787037037037037e-7,7.45800e+04,1.22131e+03,1
52777.13433139081,5.787037037037037e-7,7.41400e+04,1.21770e+03,1
52777.13433196951,5.787037037037037e-7,7.76200e+04,1.24595e+03,1
52777.13433254821,5.787037037037037e-7,7.43800e+04,1.21967e+03,1
52777.13433312692,5.787037037037037e-7,7.78400e+04,1.24772e+03,1
52777.13433370562,5.787037037037037e-7,7.81200e+04,1.24996e+03,1
52777.13433428433,5.787037037037037e-7,7.62200e+04,1.23467e+03,1
52777.13433486303,5.787037037037037e-7,7.67000e+04,1.23855e+03,1
52777.13433544173,5.787037037037037e-7,7.96200e+04,1.26190e+03,1
52777.13433602044,5.787037037037037e-7,7.57000e+04,1.23045e+03,1
52777.13433659914,5.787037037037037e-7,8.04600e+04,1.26854e+03,1
52777.13433717786,5.787037037037037e-7,7.78400e+04,1.24772e+03,1
52777.13433775655,5.787037037037037e-7,8.24800e+04,1.28437e+03,1
52777.13433833524,5.787037037037037e-7,8.55200e+04,1.30782e+03,1
52777.13433891397,5.787037037037037e-7,7.98600e+04,1.26380e+03,1
52777.13433949266,5.787037037037037e-7,8.36800e+04,1.29368e+03,1
52777.13434007137,5.787037037037037e-7,8.24800e+04,1.28437e+03,1
52777.13434065007,5.787037037037037e-7,8.19200e+04,1.28000e+03,1
52777.13434122877,5.787037037037037e-7,8.15200e+04,1.27687e+03,1
52777.13434180748,5.787037037037037e-7,8.23600e+04,1.28343e+03,1
52777.13434238618,5.787037037037037e-7,8.17000e+04,1.27828e+03,1
52777.13434296490,5.787037037037037e-7,7.91800e+04,1.25841e+03,1
52777.13434354359,5.787037037037037e-7,7.95200e+04,1.26111e+03,1
52777.13434412229,5.787037037037037e-7,7.98600e+04,1.26380e+03,1
52777.13434470100,5.787037037037037e-7,8.27200e+04,1.28623e+03,1
52777.13434527969,5.787037037037037e-7,7.90400e+04,1.25730e+03,1
52777.13434585841,5.787037037037037e-7,8.04600e+04,1.26854e+03,1
52777.13434643710,5.787037037037037e-7,7.81800e+04,1.25044e+03,1
52777.13434701580,5.787037037037037e-7,7.84200e+04,1.25236e+03,1
52777.13434759452,5.787037037037037e-7,7.86400e+04,1.25411e+03,1
52777.13434817321,5.787037037037037e-7,8.05200e+04,1.26902e+03,1
52777.13434875193,5.787037037037037e-7,7.60600e+04,1.23337e+03,1
